qid,P1087,qal585,S813,S854,S1440
Q16299158,2227,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,500321
Q27527662,2365,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,902705
Q1961009,2382,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,100161
Q27597670,2096,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,128350
Q489002,2397,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1700120
Q27531701,2348,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2000849
Q488267,2618,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2101246
Q500847,2302,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,24606073
Q30310077,2205,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,3000060
Q1374241,2504,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,300020
Q5157522,2260,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,401510
Q489109,2490,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4105109
Q473184,2553,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4117654
Q488112,2502,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,603252
Q2089173,2255,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,642002
Q27525022,2376,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,100200
Q11768489,2416,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1112708
Q27597675,2083,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,111791
Q511240,2371,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1121979
Q1350369,2371,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1200011
Q27597743,2196,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,12400203
Q27529216,2324,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1304240
Q27532101,2325,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,303062
Q28023636,2120,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,4608720
